Identificador,Alinhamento,Autorizações,Comercialização,Depósito,Derivados,Detalhamento do efeito,Detalhamento forma de uso,Diagramação,Discursos de autoridade,Doença mencionada,Dúvidas,Elementos de composição,Extras,Hieraquia da informação,ID,Informações indicativas,Link,Menções a lugares,Observações,Origem,Original (primeira aparição),Palavra-chave efeito,Palavras-chave produto,Preço,Primeiras palavras do anúncio,Produto ofertado (título completo),Produção,Público mencionado,Quantidade de variações tipográficas (aprox.),Responsável técnico,Sinal visual de autoridade,Status,Substâncias,Tipificação da imagem (aprox.),Tipo de produto,Variação tipográfica,Variação typeface
salsaparrilha_carroba_maranhao,"Centralizado, Justificado esquerda",Ausente,-,-,,Mencionado,Ausente,1 coluna,Ausente,Rheumatismo,,Ausente,,"Corpo do texto, Título principal",11,Indefinido,https://drive.google.com/file/d/1MnndVoax4x-ddcNq86cW9xTJqoIET6XI/view?usp=drive_link,Maranhão,Vem a pedido de muitas pessoas que estão soffrendo dos mesmos incomodos e que se achão quase restabelecidos deste infernal incommodo,"Inferido, Nacional",,Ausente,Infalivel (infallivel),-,Nome do produto,Salsaparrilha e Carroba do Maranhão,-,Portadores/acometidos,6,Ausente,Ausente,Finalizado,"Carroba (caroba), Salsaparrilha",Ausente,Indefinido,"Bold, Regular",Serifa
licor_centaurea,"Centralizado, Justificado esquerda",Ausente,-,44 - Rua do Conselho - 44 Campos,,Detalhado,Ausente,2 colunas,"Attestados, Recomendado/attestado por especialistas, Testemunho de usuário","Colicas estomacaes, Colicas intestinaes, Dispepsia (dyspepsias), Gastralgia, Indigestão",,"Fios, Outro",Nenhum,"Corpo do texto, Subtítulo, Título principal, Título secundário",12,"Depósito, Preço, Responsável técnico/preparado por/Pharmaceutico",https://drive.google.com/file/d/1OtKPA1A8DbMmr00iFUok9rhqJ2YDC5SV/view?usp=drive_link,Campos,5 attestados: 4 médicos e 1 pharmaceutico Joaquim Manoel Venancio do Silva (um aperto de mão ao autor de tão importante descoberta).,Indefinido,,"Allivia [moléstia], Completamente bom (sentido de curado), Previne [moléstia], Resultado feliz, Resultado magnífico, Resultado maravilhoso","Heroico, Innocente, Poderoso(a), Precioso(a), Virtuoso(a)",1 garrafa 2$500 e 1 caixa com 12 garrafas 24$000,Nome do produto,Licor de centaurea fel da terra,-,"Geral, Portadores/acometidos",9,B. Delgado [Delgado],Ausente,Finalizado,Ausente,Ausente,Licor,"Bold, Caixa alta, Expandido, Itálico","Fantasia, Serifa"
dores_dentes_odontalgico_brazileiro,"Centralizado, Justificado esquerda",Ausente,-,rua Direita n. 119,"nao_ha_mais_dores_odontalgico_brazileiro (https://www.notion.so/nao_ha_mais_dores_odontalgico_brazileiro-277d075ca7128028ae9ccd5506032e8b?pvs=21), NAO_HA_MAIS_DORES_DENTES (https://www.notion.so/NAO_HA_MAIS_DORES_DENTES-277d075ca712802b83a2ce8e4c561c5f?pvs=21)",Detalhado,Mencionado,1 coluna,Estatística,Dor de dente [odontalgia],,Ausente,,"Corpo do texto, Título principal",13,"Depósito, Preço",https://drive.google.com/file/d/1aL3KmibHv6enJz48jqGhnE-esJh8cRx6/view?usp=drive_link,"Brazil [Brasil], Campos",Traz a informação de que mais de 95% por que usaram este medicamento e se guiaram pela instrução que envolve o vidro foram curados,"Inferido, Nacional",,"Faz desaparecer [moléstia], Não destrói [algo]",Seguro,"Preço de cada vidro 2$000 rs., duzia 22$000 rs.",[Moléstia],Odontalgico Brazileiro,-,Portadores/acometidos,2,Ausente,Ausente,Finalizado,Ausente,Ausente,Odontalgico,"Itálico, Regular",Serifa
salsaparrilha_caroba,"Centralizado, Justificado esquerda",Ausente,Chegou ao Guimarães de Santa Fé,-,,Mencionado,Ausente,1 coluna,Ausente,Feridas antigas (feridas chronicas),,Ausente,,"Corpo do texto, Título principal",14,Comercialização/Depósito (dúbia),https://drive.google.com/file/d/13LESAXZOfjqTgdhLREEuwZuayP4kMG3a/view?usp=drive_link,"Império do Brazil, Maranhão",,"Declarado, Nacional",,"Poderoso [efeito], [moléstia] não resiste","Afamada(o), Curativo, Prodigioso",Preço barato,Produto,Salsaparrilha e caroba,-,Portadores/acometidos,3,Ausente,Ausente,Finalizado,"Carroba (caroba), Salsaparrilha",Ausente,Indefinido,Regular,Serifa
novo_depurativo_extracto_salsaparrilha_caroba_2colunas_sememblema,"Centralizado, Justificado esquerda",Ausente,"Pharmacia de Vicente Antonio da Silva
Acha-se tambem á venda na Natividade do Carangola armacia Lannes e no Bom-Jesus do tabapoana pharmacia Modesto & Fonceca",Rua Direita n. 84,,Mencionado,Ausente,1 coluna,Ausente,"Darthros, Escrofula (escrophulasa scrophulas escrophulas escrofulose), Impingens (empingens empigens), Pannos, Rheumatismo, Siphilis [Siphylis] [enfermidades syphiliticas]",,Ausente,,"Corpo do texto, Nota de rodapé, Título principal, Título secundário",15,"Comercialização, Depósito, Responsável técnico/preparado por/Pharmaceutico",https://drive.google.com/file/d/1eEcAQQdUGliqo7YjgSUdkIqty_Ewfb9F/view?usp=drive_link,"Bom-Jesus do Itabapoana, Campos, Natividade do Carangola [Carangola]",,Indefinido,og_novo_depurativo_extracto_salsaparrilha_caroba_2colunas_comemblema (https://www.notion.so/og_novo_depurativo_extracto_salsaparrilha_caroba_2colunas_comemblema-262d075ca7128097a8f4df62e4fe5bdf?pvs=21),"Cura radical, Curar [moléstia] (cura [moléstia]  cura-se [moléstia])",Precioso(a),-,Novo depurativo,Extracto fluido de Salsaparrilha e caroba iodurado ou elexir depurativo do sangue,-,Portadores/acometidos,8,"Joaquim Manoel Venancio da Silva (pharmaceutico chimico pela Faculdadde de Medicina do Rio de Janeiro), Venancio da Silva",Ausente,Finalizado,"Caroba iodurado, Salsaparrilha",Ausente,"Elexir/elixir, Extrato","Bold, Expandido, Regular",Serifa
xarope_pao_pereira_delgado,"Centralizado, Justificado esquerda",Ausente,-,44 - Rua do Concelho - 44,,Detalhado,Detalhado,2 colunas,"Apelo ao ""natural"", Discurso científico, Recomendado/attestado por especialistas, Sabedoria indígena, Sabedoria sertaneja/interiorana","Amenorrhéa, Anemia, Cachechias paludosas, Chloro-anemais, Chlorose [chlorosis], Debilidade (Desbilidade), Engurgitamento de baço, Febres inttermittentes (inveteradas), Leucorrhéa, Menstruações difficeis",,Fios,Medidas anti-falsificação,"Corpo do texto, Subtítulo, Título principal, Título secundário, Título terciário",17,"Depósito, Preço, Responsável técnico/preparado por/Pharmaceutico",https://drive.google.com/file/d/1MtUIxeByFTZiddTSI8Rwbw-svJRVNOPs/view?usp=drive_link,"Brazil [Brasil], Campos, Rio de Janeiro","9 attestados: 9 médicos
O anúncio traz uma “Observação util: Todos os rotulos dos preparados pharmaceuticos de B. Delgado, deverão levar como garantia de terem sido feitos pelo proprio inventor a sua assignatura e marca - B. DELGADO.”","Inferido, Nacional",,"Anti-febril, Bom resultado, Conveniente (mais conveniente), Cura radical, Explendido resultado, Não prende o ventre (não constipa o sangue), Optimo resultado, Poderoso [efeito], Regenerador do sangue, Reparador do sangue, Resultado certo, Resultado feliz, Resultado seguro, Tônico, [moléstia] debelada","Alta excellencia (excellente), Heroicas virtudes, Heroico, Primeira força, Superior (muito superior), Vantajoso (grande vantagem)","1 vidro 2$, 1 caixa com 12 vidros 20$.",Produto,Xarope de pao-pereira ferruginoso,-,Ausente,9,B. Delgado [Delgado],Ausente,Finalizado,"(Descrição detalhada da substância), Apocynaceae Geissospermum vellosii, Páo-pereira, Sal de ferro",Ausente,Xarope,"Bold, Caixa alta, Itálico, Regular","Fantasia, Serifa"
pomada_antidartrosa_delgado,"Centralizado, Justificado esquerda",Ausente,-,Unico deposito - Rua do Concelho n. 44,,Detalhado,Detalhado,2 colunas,"Attestados, Recomendado/attestado por especialistas","Affecções ecczematosas, Darthros, Impingens (empingens empigens), Sarnas",,"Fios, Outro",,"Corpo do texto, Nota de rodapé, Subtítulo, Título principal, Título secundário",16,"Depósito, Preço, Responsável técnico/preparado por/Pharmaceutico",https://drive.google.com/file/d/1jtTfxltwxnFyOzhmCMe1x1tDJ43HJVPB/view?usp=drive_link,"Campos, Rio de Janeiro","Recomenda acompanhar seu uso com um depurativo: ”A cura apparece em pouco tempo, sendo porém de utilidade o uso de qualquer depurativo internamente”
Attestados de 3 médicos: um deles afirma ser “o mais valente de todos os medicamentos que tenho empregado durante cinco annos de exercicio clinico”",Indefinido,,"Cura rápida, Curar [moléstia] (cura [moléstia]  cura-se [moléstia]), Explendido resultado, Resultado feliz, Resultado maravilhoso","Eficaz (efficacissimo), Recomenda usar depurativo de acompanhamento, Valente [medicamento]",1 pote 1$000 e 12 potes 10$000,Produto,Pomada anti-dartrosa,-,Portadores/acometidos,9,B. Delgado [Delgado],Ausente,Finalizado,Ausente,Ausente,Pomada,"Bold, Caixa alta, Itálico, Regular","Fantasia, Serifa"
correntes_arthriticas_rheumaticas,"Centralizado, Justificado esquerda",Ausente,-,Unico deposito no Emperio e casa de Antonio Zulchner 85 - Rua Direita - 85 Casa de Machinas,,Mencionado,Ausente,1 coluna,"Apelo a novidade, Promessas de garantia","Caimbra, Doença peito, Doenças dos nervos, Dor de dente [odontalgia], Epilepsia, Feridas antigas (feridas chronicas), Gotta, Hemorrhoidas, Impingens (empingens empigens), Inflamação dos olhos, Nevralgia [facial] [em geral], Rheumatismo, Surdez",,Ausente,Vá até a casa do anunciante olhar ps attestados que o inventor recebeu,"Corpo do texto, Subtítulo, Título principal",19,"Depósito, Preço, Responsável técnico/preparado por/Pharmaceutico",https://drive.google.com/file/d/11iCHpARArM7YTdlBPZIqiggNtQhMvP1w/view?usp=drive_link,Imperio,,Indefinido,,"Curar [moléstia] (cura [moléstia]  cura-se [moléstia]), Sucesso garantido","Infalivel (infallivel), O(A) mais [adjetivo]",8$000 e quem comprar 6 correntes receberá 10 por cento de abatimento,Attenção,Correntes arthriticas e rheumaticas,-,Portadores/acometidos,5,Adolfo Winter,Ausente,Finalizado,Ausente,Ausente,Corrente,"Bold, Outros, Regular","Fantasia, Serifa"
mel_fumo,"Centralizado, Justificado esquerda",Ausente,-,Deposito em todas as pharmacias Campos,,Mencionado,Detalhado,1 coluna,Ausente,"Feridas antigas (feridas chronicas), Tetano",,Ausente,,"Corpo do texto, Subtítulo, Título principal, Título secundário",20,Depósito,https://drive.google.com/file/d/144DwZud7gxzifHaogCfhOTGYWcHNVL2-/view?usp=drive_link,Campos,,Indefinido,,Curar [moléstia] (cura [moléstia]  cura-se [moléstia]),"Específico, Preservativo",-,Nome do produto,Mel de Fumo,-,Portadores/acometidos,6,Ausente,Ausente,Finalizado,Ausente,Ausente,Indefinido,"Itálico, Outros, Regular","Fantasia, Serifa"
vinho_lacto_phosphato_cal_delgado,Centralizado,Ausente,-,-,,Ausente,Ausente,1 coluna,Ausente,Ausente,"Como chamar essas fontes da variação tipográfica, Como representar os símbolos tipográficos","Fios, Outro",,"Subtítulo, Título principal, Título secundário, Título terciário",21,"Comercialização/Depósito (dúbia), Responsável técnico/preparado por/Pharmaceutico",https://drive.google.com/file/d/1zvYXh4gZCG9j5GpM8TR1c9aLwlW--vIF/view?usp=drive_link,Campos,- 25 centigr: 30 gram. -,Indefinido,,Ausente,Ausente,-,Nome do produto,Vinho de Lacto-Phosphato de Cal,-,Ausente,9,"B. Delgado [Delgado], Systema Dusart",Ausente,Finalizado,Ausente,Ausente,Indefinido,"Caixa alta, Regular","Fantasia, Serifa"
extracto_fluido_salsaparrilha_caroba_iodurado_joaquim,"Centralizado, Justificado esquerda",Ausente,-,Pharmacia de Vicente Antonio da Silva 84 - Rua Direita - 84 Campos Provincia do Rio de Janeiro,,Detalhado,Detalhado,1 coluna,"Promessas de garantia, Qualidade dos ingredientes, Utilizado por especialistas","Darthros, Escrofula (escrophulasa scrophulas escrophulas escrofulose), Feridas, Impingens (empingens empigens), Rheumatismo, Sarnas",,Ausente,Sugestão de uso coadjuvante com outro medicamento,"Corpo do texto, Nota de rodapé, Subtítulo, Título principal, Título secundário",22,"Depósito, Preço, Responsável técnico/preparado por/Pharmaceutico",https://drive.google.com/file/d/1ior_-rycWuVZ5XpTsdTwfv-X8jncgGa_/view?usp=drive_link,"Campos, Rio de Janeiro","“coadjuvar o tratamento com o «Opodeldoc de bette da matta»
—
Tem sido empregado com grande vantagem na acreditada casa de saúde do distinto clinico o Sr. Dr. José Camillo de Moura, Hospital Santa Caza de Misericordia",Indefinido,og_novo_depurativo_extracto_salsaparrilha_caroba_2colunas_comemblema (https://www.notion.so/og_novo_depurativo_extracto_salsaparrilha_caroba_2colunas_comemblema-262d075ca7128097a8f4df62e4fe5bdf?pvs=21),Resultados satisfatorios,"Depurativo (ação depurativa), Eficaz (efficacissimo), Poderoso(a), Purificador do sangue, Vantajoso (grande vantagem), Virtudes terapeuticas",1 vidro 2$300 - 1 caixa com 12 vidros 24$0,Produto,Extracto fluido de salsaparrilha e caroba iodurado ou elixir depurativo do sangue,-,"Adultos, Crianças (creanças)",7,Joaquim Manoel Venancio da Silva (pharmaceutico chimico pela Faculdadde de Medicina do Rio de Janeiro),Ausente,Finalizado,"Caroba iodurado, Salsaparrilha",Ausente,"Elexir/elixir, Extrato","Bold, Caixa alta, Regular",Serifa
essencia_depurativa_ferruminosa_emblema,"Centralizado, Justificado esquerda",Exma. Junta de Hygiene,"Pharmacia Ezequiel, rua do Concelho",-,essencia_depurativa_ferruginosa (https://www.notion.so/essencia_depurativa_ferruginosa-276d075ca7128047a7d3e5cdc3fecc9b?pvs=21),Ausente,Ausente,1 coluna,"Produto original, Vantagem sobre outros",Ausente,,Clichê,"Brevemente almanak 1881, Medidas anti-falsificação","Corpo do texto, Nota de rodapé, Subtítulo, Título principal, Título secundário",23,Comercialização,https://drive.google.com/file/d/1Tbem9Ls2PEWEo0E8LsdhJ0eUeaPoN6Rs/view?usp=drive_link,Nenhum,"Nota: Em consequencia de grosseiras imitações que tem apparecido no mercado, em diversos pontos, temos adoptado, além do arranjo conhecido, uma tira typographada e collada em redor do pescoço dos frascos com a firma do proprio punho do abaixo assignado, isso do dia 1º de janeiro do corrente anno em diante.
Brevemente será distribuido o almanak para 1881.",Indefinido,,Ausente,"Autorisado(a), Unica(o) apropriada(o)",-,Previlegio,Essencia depurativa ferruminosa,-,Ausente,6,Ausente,Cliche do Império do Brazil,Finalizado,Ausente,"Brasão, Brasão do Imperio do Brasil",Essencia,"Bold, Caixa alta, Expandido, Itálico, Regular","Fantasia, Serifa"
reumatismo_essencia_ferruginosa_ezequiel,"Centralizado, Justificado esquerda",Ausente,"Pharmacia Ezequiel, rua do Concelho",-,,Ausente,Ausente,1 coluna,Ausente,Rheumatismo,,Ausente,Brevemente almanak 1881,"Corpo do texto, Título principal",24,Comercialização,https://drive.google.com/file/d/12R9A2v8FqGQLlj08ic7Mw5pVv20-4j0m/view?usp=drive_link,Nenhum,Brevemente será distribuido o almanak para 1881.,Indefinido,,"Até casos rebeldes/graves, Poderoso [efeito]","Acreditado, Específico, O melhor, O(A) mais [adjetivo]",-,[Moléstia],Essencia depurativa ferruginosa,-,Ausente,1,Ausente,Ausente,Finalizado,Ausente,Ausente,Essencia,"Bold, Regular",Serifa
siphylis_essencia_ferruginosa_ezequiel,"Centralizado, Justificado esquerda",Ausente,"Pharmacia Ezequiel, rua do Concelho",-,,Mencionado,Ausente,1 coluna,Ausente,"Impureza no sangue, Siphilis [Siphylis] [enfermidades syphiliticas]",,Ausente,Brevemente almanak 1881,"Corpo do texto, Título principal",25,Comercialização,https://drive.google.com/file/d/1GGPy1etG-Fz9kIrR-XlcJQELN7CB-stX/view?usp=drive_link,Imperio,Brevemente será distribuido o almanak para 1881.,Indefinido,,"Até casos rebeldes/graves, Cura radical, Curar [moléstia] (cura [moléstia]  cura-se [moléstia]), Incontestavel",Poderoso(a),-,[Moléstia],Essencia depurativa ferrugtnosa,-,Ausente,1,Ausente,Ausente,Finalizado,Ausente,Ausente,Essencia,Regular,Serifa
rob_antirheumatico_augusto_maximo,"Centralizado, Justificado esquerda",Ausente,-,Unico deposito nesta cidade Pharmacia Delgado 44 - Rua do Concelho- 44 Campos,,Mencionado,Detalhado,1 coluna,Qualidade da produçao,Rheumatismo,,Ausente,"Fala do ""clima"" que é produzido","Corpo do texto, Subtítulo, Título principal, Título secundário",26,"Depósito, Responsável técnico/preparado por/Pharmaceutico",https://drive.google.com/file/d/1b6TxlTcaQX4EV9AYxevUIy6BqaUhAN6h/view?usp=drive_link,Campos,,"Inferido, Nacional",,"Combater [moléstia], Grandes e beneficas vantagens, [moléstia] debelada","Eficaz (efficacissimo), Poderoso(a), Preparado com escrupulo, Preparado no nosso clima",-,Produto,Rob anti-rheumatico,-,"Crianças (creanças), Portadores/acometidos",9,Augusto Maximo da Veiga,Ausente,Finalizado,Ausente,Ausente,Rob,"Caixa alta, Condensado, Expandido, Regular","Fantasia, Serifa"
essencia_depurativa_ferruginosa,"Centralizado, Justificado esquerda",Exma. Junta de Hygiene,"Pharmacia Ezequiel, rua do Concelho",-,,Ausente,Ausente,1 coluna,"Produto original, Vantagem sobre outros",Ausente,,Ausente,"Brevemente almanak 1881, Medidas anti-falsificação","Corpo do texto, Nota de rodapé, Subtítulo, Título principal, Título secundário",27,Comercialização,https://drive.google.com/file/d/1Pd6e3iSk8GRhOHFhmOlrxvdd6LF9KOtQ/view?usp=drive_link,Nenhum,"Nota: Em consequencia de grosseiras imitações que tem apparecido no mercado, em diversos pontos, temos adoptado, além do arranjo conhecido, uma tira typographada e collada em redor do pescoço dos frascos com a firma do proprio punho do abaixo assignado, isso do dia 1º de janeiro do corrente anno em diante.
Brevemente será distribuido o almanak para 1881.",Indefinido,essencia_depurativa_ferruminosa_emblema (https://www.notion.so/essencia_depurativa_ferruminosa_emblema-263d075ca712804a877ae2487f67b5ec?pvs=21),Ausente,"Autorisado(a), Unica(o) apropriada(o",-,Previlegio,Essencia depurativa ferruginosa,-,Ausente,6,Ausente,Ausente,Finalizado,Ausente,Ausente,Essencia,"Bold, Caixa alta, Expandido, Itálico, Regular",Serifa
